


Constant Name   Base Length     Height          Calculated Pi        Pi Difference        Calculated GR        GR Difference       
π               0.0867          0.0552          3.1415946832         0.0000020296         1.6189925397         0.0009585510        
π               0.0832          0.0530          3.1415947584         0.0000021048         1.6189925157         0.0009585270        
π               0.0510          0.0325          3.1415904683         0.0000021853         1.6189938831         0.0009598944        
π               0.0796          0.0507          3.1415948403         0.0000021867         1.6189924896         0.0009585009        
π               0.0761          0.0484          3.1415949299         0.0000022763         1.6189924611         0.0009584723        
π               0.0475          0.0302          3.1415902849         0.0000023687         1.6189939416         0.0009599528        
π               0.0725          0.0462          3.1415950283         0.0000023747         1.6189924297         0.0009584410        
π               0.0971          0.0618          3.1415901992         0.0000024544         1.6189939689         0.0009599801        
π               0.0690          0.0439          3.1415951367         0.0000024831         1.6189923952         0.0009584064        
π               0.0935          0.0595          3.1415900959         0.0000025577         1.6189940018         0.0009600131        
π               0.0439          0.0280          3.1415900719         0.0000025817         1.6189940095         0.0009600207        
π               0.0654          0.0417          3.1415952570         0.0000026034         1.6189923568         0.0009583681        
π               0.0900          0.0573          3.1415899845         0.0000026691         1.6189940373         0.0009600486        
π               0.0619          0.0394          3.1415953910         0.0000027374         1.6189923141         0.0009583254        
π               0.0864          0.0550          3.1415898638         0.0000027897         1.6189940758         0.0009600870        
π               0.0404          0.0257          3.1415898214         0.0000028322         1.6189940893         0.0009601006        
π               0.0583          0.0371          3.1415955413         0.0000028877         1.6189922662         0.0009582774        
π               0.0829          0.0528          3.1415897329         0.0000029207         1.6189941175         0.0009601288        
π               0.0050          0.0032          3.1415957111         0.0000030575         1.6189922121         0.0009582233        
π               0.0548          0.0349          3.1415957111         0.0000030575         1.6189922121         0.0009582233        
π               0.0793          0.0505          3.1415895902         0.0000030634         1.6189941630         0.0009601742        
π               0.0368          0.0234          3.1415895226         0.0000031310         1.6189941845         0.0009601958        
π               0.0758          0.0482          3.1415894342         0.0000032194         1.6189942127         0.0009602240        
π               0.0512          0.0326          3.1415959045         0.0000032509         1.6189921504         0.0009581617        
π               0.0975          0.0621          3.1415959144         0.0000032608         1.6189921473         0.0009581585        
π               0.0940          0.0598          3.1415960275         0.0000033739         1.6189921112         0.0009581225        
π               0.0722          0.0460          3.1415892628         0.0000033908         1.6189942674         0.0009602786        
π               0.0477          0.0304          3.1415961266         0.0000034730         1.6189920796         0.0009580909        
π               0.0333          0.0212          3.1415891601         0.0000034935         1.6189943001         0.0009603113        
π               0.0904          0.0576          3.1415961495         0.0000034959         1.6189920723         0.0009580836        
π               0.0687          0.0437          3.1415890737         0.0000035799         1.6189943276         0.0009603389        
π               0.0869          0.0553          3.1415962815         0.0000036279         1.6189920303         0.0009580415        
π               0.0441          0.0281          3.1415963845         0.0000037309         1.6189919975         0.0009580087        
π               0.0833          0.0530          3.1415964247         0.0000037711         1.6189919846         0.0009579959        
π               0.0651          0.0415          3.1415888640         0.0000037896         1.6189943945         0.0009604057        
π               0.0970          0.0617          3.1415887623         0.0000038913         1.6189944269         0.0009604381        
π               0.0798          0.0508          3.1415965807         0.0000039271         1.6189919349         0.0009579462        
π               0.0297          0.0189          3.1415887110         0.0000039426         1.6189944433         0.0009604545        
π               0.0616          0.0392          3.1415886300         0.0000040235         1.6189944690         0.0009604803        
π               0.0406          0.0258          3.1415966874         0.0000040338         1.6189919009         0.0009579121        
π               0.0934          0.0595          3.1415886043         0.0000040493         1.6189944772         0.0009604885        
π               0.0762          0.0485          3.1415967513         0.0000040977         1.6189918806         0.0009578918        
π               0.0899          0.0572          3.1415884338         0.0000042198         1.6189945316         0.0009605428        
π               0.0727          0.0463          3.1415969384         0.0000042849         1.6189918209         0.0009578321        
π               0.0580          0.0369          3.1415883675         0.0000042861         1.6189945527         0.0009605640        
π               0.0370          0.0236          3.1415970485         0.0000043949         1.6189917858         0.0009577971        
π               0.0863          0.0549          3.1415882492         0.0000044044         1.6189945904         0.0009606017        
π               0.0691          0.0440          3.1415971449         0.0000044913         1.6189917551         0.0009577663        
π               0.0262          0.0167          3.1415881400         0.0000045136         1.6189946252         0.0009606365        
π               0.0545          0.0347          3.1415880707         0.0000045829         1.6189946473         0.0009606586        
π               0.0828          0.0527          3.1415880488         0.0000046048         1.6189946543         0.0009606655        
π               0.0976          0.0621          3.1415973351         0.0000046815         1.6189916945         0.0009577057        
π               0.0656          0.0417          3.1415973737         0.0000047201         1.6189916822         0.0009576934        
π               0.0792          0.0504          3.1415878305         0.0000048231         1.6189947239         0.0009607351        
π               0.0335          0.0213          3.1415974860         0.0000048325         1.6189916464         0.0009576576        
π               0.0941          0.0599          3.1415975017         0.0000048481         1.6189916414         0.0009576526        
π               0.0509          0.0324          3.1415877326         0.0000049210         1.6189947551         0.0009607663        
π               0.0620          0.0395          3.1415976286         0.0000049750         1.6189916009         0.0009576122        
π               0.0905          0.0576          3.1415976814         0.0000050278         1.6189915841         0.0009575953        
π               0.0757          0.0482          3.1415875916         0.0000050620         1.6189948000         0.0009608113        
π               0.0870          0.0554          3.1415978758         0.0000052222         1.6189915221         0.0009575334        
π               0.0585          0.0372          3.1415979146         0.0000052610         1.6189915098         0.0009575210        
π               0.0226          0.0144          3.1415873898         0.0000052638         1.6189948644         0.0009608756        
π               0.0474          0.0302          3.1415873437         0.0000053099         1.6189948790         0.0009608903        
π               0.0721          0.0459          3.1415873293         0.0000053243         1.6189948836         0.0009608949        
π               0.0968          0.0617          3.1415873222         0.0000053314         1.6189948859         0.0009608971        
π               0.0299          0.0191          3.1415980274         0.0000053738         1.6189914738         0.0009574851        
π               0.0834          0.0531          3.1415980867         0.0000054331         1.6189914549         0.0009574662        
π               0.0933          0.0594          3.1415871092         0.0000055444         1.6189949538         0.0009609650        
π               0.0549          0.0350          3.1415982375         0.0000055839         1.6189914068         0.0009574181        
π               0.0686          0.0436          3.1415870397         0.0000056139         1.6189949759         0.0009609872        
π               0.0799          0.0508          3.1415983163         0.0000056627         1.6189913817         0.0009573930        
π               0.0438          0.0279          3.1415868918         0.0000057618         1.6189950231         0.0009610343        
π               0.0897          0.0571          3.1415868793         0.0000057743         1.6189950271         0.0009610383        
π               0.0763          0.0486          3.1415985673         0.0000059138         1.6189913017         0.0009573130        
π               0.0650          0.0414          3.1415867185         0.0000059350         1.6189950783         0.0009610895        
π               0.0514          0.0327          3.1415986051         0.0000059515         1.6189912897         0.0009573009        
π               0.0862          0.0549          3.1415866305         0.0000060231         1.6189951064         0.0009611176        
π               0.0264          0.0168          3.1415987144         0.0000060608         1.6189912548         0.0009572661        
π               0.0977          0.0622          3.1415987526         0.0000060990         1.6189912427         0.0009572539        
π               0.0728          0.0463          3.1415988429         0.0000061893         1.6189912139         0.0009572251        
π               0.0615          0.0391          3.1415863603         0.0000062933         1.6189951925         0.0009612037        
π               0.0403          0.0256          3.1415863603         0.0000062933         1.6189951925         0.0009612037        
π               0.0191          0.0121          3.1415863603         0.0000062933         1.6189951925         0.0009612037        
π               0.0826          0.0526          3.1415863603         0.0000062933         1.6189951925         0.0009612037        
π               0.0942          0.0600          3.1415989725         0.0000063189         1.6189911726         0.0009571838        
π               0.0478          0.0304          3.1415990273         0.0000063737         1.6189911551         0.0009571664        
π               0.0692          0.0441          3.1415991466         0.0000064930         1.6189911171         0.0009571283        
π               0.0906          0.0577          3.1415992096         0.0000065560         1.6189910970         0.0009571083        
π               0.0791          0.0504          3.1415860658         0.0000065878         1.6189952863         0.0009612976        
π               0.0579          0.0369          3.1415859581         0.0000066955         1.6189953207         0.0009613319        
π               0.0967          0.0616          3.1415858788         0.0000067748         1.6189953460         0.0009613572        
π               0.0871          0.0554          3.1415994660         0.0000068124         1.6189910153         0.0009570265        
π               0.0657          0.0418          3.1415994833         0.0000068297         1.6189910098         0.0009570210        
π               0.0443          0.0282          3.1415995172         0.0000068636         1.6189909990         0.0009570102        
π               0.0755          0.0481          3.1415857437         0.0000069099         1.6189953890         0.0009614003        
π               0.0367          0.0234          3.1415857259         0.0000069277         1.6189953947         0.0009614059        
π               0.0228          0.0145          3.1415996149         0.0000069613         1.6189909678         0.0009569791        
π               0.0932          0.0593          3.1415856105         0.0000070431         1.6189954315         0.0009614427        
π               0.0835          0.0532          3.1415997442         0.0000070906         1.6189909266         0.0009569379        
π               0.0544          0.0346          3.1415855033         0.0000071503         1.6189954656         0.0009614769        
π               0.0621          0.0395          3.1415998584         0.0000072048         1.6189908902         0.0009569015        
π               0.0720          0.0458          3.1415853898         0.0000072638         1.6189955018         0.0009615131        
π               0.0896          0.0571          3.1415853210         0.0000073326         1.6189955238         0.0009615350        
π               0.0800          0.0509          3.1416000471         0.0000073936         1.6189908301         0.0009568413        
π               0.0407          0.0259          3.1416000926         0.0000074390         1.6189908156         0.0009568268        
π               0.0978          0.0623          3.1416001670         0.0000075134         1.6189907919         0.0009568031        
π               0.0586          0.0373          3.1416002790         0.0000076254         1.6189907562         0.0009567674        
π               0.0861          0.0548          3.1415850076         0.0000076460         1.6189956236         0.0009616349        
π               0.0684          0.0436          3.1415849992         0.0000076544         1.6189956263         0.0009616376        
π               0.0508          0.0323          3.1415849850         0.0000076686         1.6189956308         0.0009616421        
π               0.0332          0.0211          3.1415849557         0.0000076979         1.6189956402         0.0009616514        
π               0.0764          0.0487          3.1416003782         0.0000077246         1.6189907245         0.0009567358        
π               0.0943          0.0600          3.1416004398         0.0000077863         1.6189907049         0.0009567161        
π               0.0155          0.0099          3.1415848598         0.0000077938         1.6189956707         0.0009616820        
π               0.0825          0.0525          3.1415846672         0.0000079864         1.6189957321         0.0009617434        
π               0.0907          0.0578          3.1416007341         0.0000080805         1.6189906111         0.0009566224        
π               0.0649          0.0413          3.1415845659         0.0000080877         1.6189957644         0.0009617757        
π               0.0729          0.0464          3.1416007415         0.0000080879         1.6189906087         0.0009566200        
π               0.0550          0.0350          3.1416007538         0.0000081002         1.6189906048         0.0009566161        
π               0.0372          0.0237          3.1416007780         0.0000081244         1.6189905971         0.0009566084        
π               0.0193          0.0123          3.1416008468         0.0000081932         1.6189905752         0.0009565864        
π               0.0966          0.0615          3.1415844321         0.0000082215         1.6189958071         0.0009618183        
π               0.0473          0.0301          3.1415843888         0.0000082648         1.6189958209         0.0009618321        
π               0.0790          0.0503          3.1415842963         0.0000083573         1.6189958504         0.0009618616        
π               0.0872          0.0555          3.1416010522         0.0000083986         1.6189905097         0.0009565210        
